dataset,cond,metric,method,mean,sd,vs_BTYD_p,n_seeds
OnlineRetailII,x>0,pit_ks,QuantileGBM,0.05762712721294212,0.016811357446535172,6.103515625e-05,15
Simulated,all,CRPS,BTYD,0.3892252488425926,0.05266668011651304,,15
Simulated,all,CRPS,PoissonGBM,0.5122120453703704,0.06500229288147436,6.103515625e-05,15
Simulated,all,CRPS,HurdleGBM,0.4877692555555556,0.058769455255293195,6.103515625e-05,15
Simulated,all,CRPS,QuantileGBM,0.5192776888888889,0.0742769921147283,6.103515625e-05,15
Simulated,all,cov50,BTYD,0.9028148148148147,0.014534922166116807,,15
Simulated,all,cov50,PoissonGBM,0.8543703703703703,0.020208204921499683,0.0006533107814151377,15
Simulated,all,cov50,HurdleGBM,0.8662222222222222,0.020611464079466027,0.0006500242387180628,15
Simulated,all,cov50,QuantileGBM,0.9074074074074076,0.022105513635701318,0.28504940740261275,15
Simulated,all,cov95,BTYD,0.9811851851851853,0.008518748559120732,,15
Simulated,all,cov95,PoissonGBM,0.9333333333333333,0.01481216907592154,0.0006434854148379288,15
Simulated,all,cov95,HurdleGBM,0.9557037037037037,0.011062326766380784,0.0006434854148379288,15
Simulated,all,cov95,QuantileGBM,0.9641481481481481,0.01113859035871713,0.000636992151797346,15
Simulated,all,nMAE,BTYD,0.5932904602253081,0.07258970761935493,,15
Simulated,all,nMAE,PoissonGBM,0.7115243959624004,0.060703691900934,0.0001220703125,15
Simulated,all,nMAE,HurdleGBM,0.7112107946882443,0.0763803678428448,0.0001220703125,15
Simulated,all,nMAE,QuantileGBM,0.9054065183729959,0.11219803320080146,6.103515625e-05,15
Simulated,all,pit_ks,BTYD,0.04156653891552875,0.011376240705065762,,15
Simulated,all,pit_ks,PoissonGBM,0.05983467933812035,0.014963824978621672,0.00201416015625,15
Simulated,all,pit_ks,HurdleGBM,0.05285322145841728,0.012305906041920459,0.01806640625,15
Simulated,all,pit_ks,QuantileGBM,0.07186928410393219,0.030125128623095892,0.00115966796875,15
Simulated,x>0,CRPS,BTYD,0.6915638963713848,0.07725105651925421,,15
Simulated,x>0,CRPS,PoissonGBM,0.9188568124193882,0.10493170964786667,6.103515625e-05,15
Simulated,x>0,CRPS,HurdleGBM,0.8742204065492393,0.09118723577200578,6.103515625e-05,15
Simulated,x>0,CRPS,QuantileGBM,0.9336822264934604,0.12603876598351008,6.103515625e-05,15
Simulated,x>0,cov50,BTYD,0.8437362679700066,0.022615511602763646,,15
Simulated,x>0,cov50,PoissonGBM,0.7524202411995734,0.03123004737911742,6.103515625e-05,15
Simulated,x>0,cov50,HurdleGBM,0.7752022969861864,0.031096599257088967,6.103515625e-05,15
Simulated,x>0,cov50,QuantileGBM,0.8523227874676207,0.039813866535690474,0.28576274557285797,15
Simulated,x>0,cov95,BTYD,0.9824528766634892,0.009925922837143662,,15
Simulated,x>0,cov95,PoissonGBM,0.8959109019242256,0.022740199321747714,6.103515625e-05,15
Simulated,x>0,cov95,HurdleGBM,0.9391943901619755,0.015273327030287847,6.103515625e-05,15
Simulated,x>0,cov95,QuantileGBM,0.9549667307510578,0.017368719509476473,0.0006533107814151377,15
