dataset,seed,method,cond,metric,value
CDNow,1,BTYD_raw,all,nMAE,0.8378561736770692
CDNow,1,BTYD_raw,x>0,CRPS,0.7399766406250001
CDNow,1,BTYD_raw,x>0,pit_ks,0.08470373085984362
CDNow,1,BTYD_raw,x>0,cov95,0.96
CDNow,1,BTYD_raw,x>0,cov50,0.74
CDNow,1,BTYD_raw,x>0,nMAE,0.803453947368421
CDNow,1,BTYD_recal,all,CRPS,0.412454320610687
CDNow,1,BTYD_recal,all,pit_ks,0.025914142371468274
CDNow,1,BTYD_recal,all,cov95,0.9660729431721798
CDNow,1,BTYD_recal,all,cov50,0.823579304495335
CDNow,1,BTYD_recal,all,nMAE,0.8426051560379919
CDNow,1,BTYD_recal,x>0,CRPS,0.733742336
CDNow,1,BTYD_recal,x>0,pit_ks,0.051497732208095726
CDNow,1,BTYD_recal,x>0,cov95,0.966
CDNow,1,BTYD_recal,x>0,cov50,0.748
CDNow,1,BTYD_recal,x>0,nMAE,0.8092105263157895
CDNow,2,BTYD_raw,all,CRPS,0.36988334261026296
CDNow,2,BTYD_raw,all,pit_ks,0.06611683104170751
CDNow,2,BTYD_raw,all,cov95,0.9626802374893978
CDNow,2,BTYD_raw,all,cov50,0.8329092451229856
CDNow,2,BTYD_raw,all,nMAE,0.8380809595202399
CDNow,2,BTYD_raw,x>0,CRPS,0.7120509474734042
CDNow,2,BTYD_raw,x>0,pit_ks,0.09439041130693715
CDNow,2,BTYD_raw,x>0,cov95,0.9574468085106383
CDNow,2,BTYD_raw,x>0,cov50,0.7468085106382979
CDNow,2,BTYD_raw,x>0,nMAE,0.8064516129032259
CDNow,2,BTYD_recal,all,CRPS,0.3663671586089907
CDNow,2,BTYD_recal,all,pit_ks,0.0377773365409122
CDNow,2,BTYD_recal,all,cov95,0.9677692960135709
CDNow,2,BTYD_recal,all,cov50,0.8422391857506362
CDNow,2,BTYD_recal,all,nMAE,0.8335832083958021
CDNow,2,BTYD_recal,x>0,CRPS,0.7050319659574468
CDNow,2,BTYD_recal,x>0,pit_ks,0.08109219308141874
CDNow,2,BTYD_recal,x>0,cov95,0.9680851063829787
CDNow,2,BTYD_recal,x>0,cov50,0.7702127659574468
CDNow,2,BTYD_recal,x>0,nMAE,0.8010752688172043
CDNow,3,BTYD_raw,all,CRPS,0.38153254877014414
CDNow,3,BTYD_raw,all,pit_ks,0.035207858005639636
CDNow,3,BTYD_raw,all,cov95,0.9737065309584394
CDNow,3,BTYD_raw,all,cov50,0.8430873621713316
CDNow,3,BTYD_raw,all,nMAE,0.7979166666666666
CDNow,3,BTYD_raw,x>0,CRPS,0.7281921237244898
CDNow,3,BTYD_raw,x>0,pit_ks,0.04589607161398912
CDNow,3,BTYD_raw,x>0,cov95,0.9755102040816327
CDNow,3,BTYD_raw,x>0,cov50,0.7591836734693878
CDNow,3,BTYD_raw,x>0,nMAE,0.7657004830917874
CDNow,3,BTYD_recal,all,CRPS,0.38637906700593727
CDNow,3,BTYD_recal,all,pit_ks,0.04545009364951513
CDNow,3,BTYD_recal,all,cov95,0.9804919423240034
CDNow,3,BTYD_recal,all,cov50,0.8736217133163698
CDNow,3,BTYD_recal,all,nMAE,0.7958333333333333
CDNow,3,BTYD_recal,x>0,CRPS,0.738542906122449
CDNow,3,BTYD_recal,x>0,pit_ks,0.05993360580021434
CDNow,3,BTYD_recal,x>0,cov95,0.9816326530612245
CDNow,3,BTYD_recal,x>0,cov50,0.8326530612244898
CDNow,3,BTYD_recal,x>0,nMAE,0.7632850241545893
CDNow,4,BTYD_raw,all,CRPS,0.38746100376378284
CDNow,4,BTYD_raw,all,pit_ks,0.04697828763180678
CDNow,4,BTYD_raw,all,cov95,0.9677692960135709
CDNow,4,BTYD_raw,all,cov50,0.8371501272264631
CDNow,4,BTYD_raw,all,nMAE,0.8347639484978541
CDNow,4,BTYD_raw,x>0,CRPS,0.7430123427242888
CDNow,4,BTYD_raw,x>0,pit_ks,0.08048184511092649
CDNow,4,BTYD_raw,x>0,cov95,0.9693654266958425
CDNow,4,BTYD_raw,x>0,cov50,0.7702407002188184
CDNow,4,BTYD_raw,x>0,nMAE,0.7984293193717278
CDNow,4,BTYD_recal,all,CRPS,0.3869219338422392
CDNow,4,BTYD_recal,all,pit_ks,0.027843488703299085
CDNow,4,BTYD_recal,all,cov95,0.9864291772688719
CDNow,4,BTYD_recal,all,cov50,0.8481764206955047
CDNow,4,BTYD_recal,all,nMAE,0.8383404864091559
CDNow,4,BTYD_recal,x>0,CRPS,0.7449257242888403
CDNow,4,BTYD_recal,x>0,pit_ks,0.056296229692971544
CDNow,4,BTYD_recal,x>0,cov95,0.986870897155361
CDNow,4,BTYD_recal,x>0,cov50,0.7986870897155361
CDNow,4,BTYD_recal,x>0,nMAE,0.8027923211169284
CDNow,5,BTYD_raw,all,CRPS,0.38143530666878706
CDNow,5,BTYD_raw,all,pit_ks,0.05573353760624866
CDNow,5,BTYD_raw,all,cov95,0.9686174724342663
CDNow,5,BTYD_raw,all,cov50,0.8379983036471587
CDNow,5,BTYD_raw,all,nMAE,0.8463268365817092
CDNow,5,BTYD_raw,x>0,CRPS,0.7154881970635776
CDNow,5,BTYD_raw,x>0,pit_ks,0.07187486364192164
CDNow,5,BTYD_raw,x>0,cov95,0.9741379310344828
CDNow,5,BTYD_raw,x>0,cov50,0.7586206896551724
CDNow,5,BTYD_raw,x>0,nMAE,0.8108856088560885
CDNow,5,BTYD_recal,all,CRPS,0.38345888719253607
CDNow,5,BTYD_recal,all,pit_ks,0.027769270663781875
CDNow,5,BTYD_recal,all,cov95,0.9754028837998303
CDNow,5,BTYD_recal,all,cov50,0.8413910093299406
CDNow,5,BTYD_recal,all,nMAE,0.8703148425787106
CDNow,5,BTYD_recal,x>0,CRPS,0.7224710517241381
CDNow,5,BTYD_recal,x>0,pit_ks,0.03164121156078503
CDNow,5,BTYD_recal,x>0,cov95,0.9849137931034483
CDNow,5,BTYD_recal,x>0,cov50,0.7672413793103449
CDNow,5,BTYD_recal,x>0,nMAE,0.8404059040590406
CDNow,6,BTYD_raw,all,CRPS,0.3783114994168787
CDNow,6,BTYD_raw,all,pit_ks,0.03901181604618853
CDNow,6,BTYD_raw,all,cov95,0.9770992366412213
CDNow,6,BTYD_raw,all,cov50,0.8354537743850721
CDNow,6,BTYD_raw,all,nMAE,0.8436123348017621
CDNow,6,BTYD_raw,x>0,CRPS,0.710055624330835
CDNow,6,BTYD_raw,x>0,pit_ks,0.06273151240183308
CDNow,6,BTYD_raw,x>0,cov95,0.9721627408993576
CDNow,6,BTYD_raw,x>0,cov50,0.7623126338329764
CDNow,6,BTYD_raw,x>0,nMAE,0.8091397849462366
CDNow,6,BTYD_recal,all,CRPS,0.38188709414758276
CDNow,6,BTYD_recal,all,pit_ks,0.023880684691308773
CDNow,6,BTYD_recal,all,cov95,0.9855810008481765
CDNow,6,BTYD_recal,all,cov50,0.8405428329092451
CDNow,6,BTYD_recal,all,nMAE,0.856093979441997
CDNow,6,BTYD_recal,x>0,CRPS,0.7205562141327624
CDNow,6,BTYD_recal,x>0,pit_ks,0.03412148544610005
CDNow,6,BTYD_recal,x>0,cov95,0.9828693790149893
CDNow,6,BTYD_recal,x>0,cov50,0.7751605995717344
CDNow,6,BTYD_recal,x>0,nMAE,0.8243727598566308
CDNow,7,BTYD_raw,all,CRPS,0.39962080550254453
CDNow,7,BTYD_raw,all,pit_ks,0.05785680764047901
