k,rep,model,cond,n,pit_ks,CRPS,cov50,cov95,mean_true,mean_pred,k_hat,E_lambda_true,E_lambda_pnbd,E_lambda_ggg
1.0,12,PNBD,all,800,0.03798248129023013,0.5075572115384616,0.875,0.98875,1.615,1.401875,0.9851245097597526,0.1112640966541278,0.11260413479289205,0.1100765919786384
1.0,12,PNBD,xcal_pos,379,0.04826041856762886,1.0125977736491234,0.7889182058047494,0.978891820580475,3.3482849604221636,2.95910290237467,0.9851245097597526,0.1112640966541278,0.11260413479289205,0.1100765919786384
1.0,12,GGG,all,800,0.045092915171553505,0.5045305103550296,0.8775,0.98875,1.615,1.40125,0.9851245097597526,0.1112640966541278,0.11260413479289205,0.1100765919786384
1.0,12,GGG,xcal_pos,379,0.046907695990515696,1.0062624705312955,0.7941952506596306,0.9841688654353562,3.3482849604221636,2.9577836411609497,0.9851245097597526,0.1112640966541278,0.11260413479289205,0.1100765919786384
1.0,13,PNBD,all,800,0.02659247759250416,0.5179811020710059,0.89,0.985,1.38875,1.13125,1.009715830867381,0.2088985830612376,0.2036906273011075,0.20276368145506496
1.0,13,PNBD,xcal_pos,534,0.024986544775783187,0.7647840347494627,0.8426966292134831,0.9850187265917603,2.0692883895131087,1.6947565543071161,1.009715830867381,0.2088985830612376,0.2036906273011075,0.20276368145506496
1.0,13,GGG,all,800,0.02744980253681073,0.5212189718934911,0.8925,0.98625,1.38875,1.141875,1.009715830867381,0.2088985830612376,0.2036906273011075,0.20276368145506496
1.0,13,GGG,xcal_pos,534,0.02333340016599811,0.7695572656959866,0.846441947565543,0.9868913857677902,2.0692883895131087,1.7106741573033708,1.009715830867381,0.2088985830612376,0.2036906273011075,0.20276368145506496
1.0,14,PNBD,all,800,0.03448423902159925,0.43471248150887576,0.8825,0.98875,1.235,1.130625,0.9811636830301463,0.13710480032456,0.13737636890653013,0.12477995102319184
1.0,14,PNBD,xcal_pos,389,0.040921431090147675,0.8606260933055475,0.7840616966580977,0.987146529562982,2.506426735218509,2.3251928020565553,0.9811636830301463,0.13710480032456,0.13737636890653013,0.12477995102319184
1.0,14,GGG,all,800,0.03330342650217788,0.4374790125739645,0.885,0.9875,1.235,1.080625,0.9811636830301463,0.13710480032456,0.13737636890653013,0.12477995102319184
