dataset,N,seed,method,cond,metric,value
Simulated,1500,7,PoissonGBM,all,cov95,0.9333333333333333
Simulated,1500,7,PoissonGBM,all,cov50,0.8422222222222222
Simulated,1500,7,PoissonGBM,all,nMAE,0.6447661469933185
Simulated,1500,7,PoissonGBM,x>0,CRPS,0.8637015380859375
Simulated,1500,7,PoissonGBM,x>0,pit_ks,0.1086060913929695
Simulated,1500,7,PoissonGBM,x>0,cov95,0.90234375
Simulated,1500,7,PoissonGBM,x>0,cov50,0.7421875
Simulated,1500,7,PoissonGBM,x>0,nMAE,0.6368778280542986
Simulated,1500,7,HurdleGBM,all,CRPS,0.49068997222222227
Simulated,1500,7,HurdleGBM,all,pit_ks,0.04963276126140037
Simulated,1500,7,HurdleGBM,all,cov95,0.9511111111111111
Simulated,1500,7,HurdleGBM,all,cov50,0.8488888888888889
Simulated,1500,7,HurdleGBM,all,nMAE,0.6380846325167039
Simulated,1500,7,HurdleGBM,x>0,CRPS,0.8349537597656249
Simulated,1500,7,HurdleGBM,x>0,pit_ks,0.09230837998372077
Simulated,1500,7,HurdleGBM,x>0,cov95,0.93359375
Simulated,1500,7,HurdleGBM,x>0,cov50,0.75390625
Simulated,1500,7,HurdleGBM,x>0,nMAE,0.6323529411764706
Simulated,1500,7,QuantileGBM,all,CRPS,0.5922295416666667
Simulated,1500,7,QuantileGBM,all,pit_ks,0.10026204196352179
Simulated,1500,7,QuantileGBM,all,cov95,0.9533333333333334
Simulated,1500,7,QuantileGBM,all,cov50,0.8866666666666667
Simulated,1500,7,QuantileGBM,all,nMAE,0.9643652561247216
Simulated,1500,7,QuantileGBM,x>0,CRPS,1.0135850341796875
Simulated,1500,7,QuantileGBM,x>0,pit_ks,0.1405821039974381
Simulated,1500,7,QuantileGBM,x>0,cov95,0.9375
Simulated,1500,7,QuantileGBM,x>0,cov50,0.8203125
Simulated,1500,7,QuantileGBM,x>0,nMAE,0.9638009049773756
Simulated,1500,8,BTYD,all,CRPS,0.2975243055555556
Simulated,1500,8,BTYD,all,pit_ks,0.030184555490779585
Simulated,1500,8,BTYD,all,cov95,0.9866666666666667
Simulated,1500,8,BTYD,all,cov50,0.9133333333333333
Simulated,1500,8,BTYD,all,nMAE,0.5860927152317881
Simulated,1500,8,BTYD,x>0,CRPS,0.5521299252717391
Simulated,1500,8,BTYD,x>0,pit_ks,0.05540230729702911
Simulated,1500,8,BTYD,x>0,cov95,0.991304347826087
Simulated,1500,8,BTYD,x>0,cov50,0.8521739130434782
Simulated,1500,8,BTYD,x>0,nMAE,0.576271186440678
Simulated,1500,8,PoissonGBM,all,CRPS,0.40615725
Simulated,1500,8,PoissonGBM,all,pit_ks,0.058000057515921494
Simulated,1500,8,PoissonGBM,all,cov95,0.9488888888888889
Simulated,1500,8,PoissonGBM,all,cov50,0.8733333333333333
Simulated,1500,8,PoissonGBM,all,nMAE,0.7632450331125828
Simulated,1500,8,PoissonGBM,x>0,CRPS,0.7616028804347825
Simulated,1500,8,PoissonGBM,x>0,pit_ks,0.11361471170581497
Simulated,1500,8,PoissonGBM,x>0,cov95,0.9217391304347826
Simulated,1500,8,PoissonGBM,x>0,cov50,0.7739130434782608
Simulated,1500,8,PoissonGBM,x>0,nMAE,0.7576271186440678
Simulated,1500,8,HurdleGBM,all,CRPS,0.42090290277777775
Simulated,1500,8,HurdleGBM,all,pit_ks,0.05556430134060772
Simulated,1500,8,HurdleGBM,all,cov95,0.9688888888888889
Simulated,1500,8,HurdleGBM,all,cov50,0.8777777777777778
Simulated,1500,8,HurdleGBM,all,nMAE,0.8576158940397351
Simulated,1500,8,HurdleGBM,x>0,CRPS,0.7918449456521738
Simulated,1500,8,HurdleGBM,x>0,pit_ks,0.09224333334500201
Simulated,1500,8,HurdleGBM,x>0,cov95,0.9608695652173913
Simulated,1500,8,HurdleGBM,x>0,cov50,0.782608695652174
Simulated,1500,8,HurdleGBM,x>0,nMAE,0.8542372881355932
Simulated,1500,8,QuantileGBM,all,CRPS,0.35815254166666666
Simulated,1500,8,QuantileGBM,all,pit_ks,0.031041568655065244
Simulated,1500,8,QuantileGBM,all,cov95,0.9755555555555555
Simulated,1500,8,QuantileGBM,all,cov50,0.9311111111111111
Simulated,1500,8,QuantileGBM,all,nMAE,0.7152317880794702
Simulated,1500,8,QuantileGBM,x>0,CRPS,0.6699824456521738
Simulated,1500,8,QuantileGBM,x>0,pit_ks,0.050103077890220615
Simulated,1500,8,QuantileGBM,x>0,cov95,0.9739130434782609
Simulated,1500,8,QuantileGBM,x>0,cov50,0.8869565217391304
Simulated,1500,8,QuantileGBM,x>0,nMAE,0.7084745762711865
Simulated,1500,9,BTYD,all,CRPS,0.41966145833333335
Simulated,1500,9,BTYD,all,pit_ks,0.044551860060762394
Simulated,1500,9,BTYD,all,cov95,0.9822222222222222
Simulated,1500,9,BTYD,all,cov50,0.8933333333333333
Simulated,1500,9,BTYD,all,nMAE,0.6312056737588654
Simulated,1500,9,BTYD,x>0,CRPS,0.7510010373443984
Simulated,1500,9,BTYD,x>0,pit_ks,0.05993052015449951
Simulated,1500,9,BTYD,x>0,cov95,0.979253112033195
Simulated,1500,9,BTYD,x>0,cov50,0.8174273858921162
Simulated,1500,9,BTYD,x>0,nMAE,0.6240963855421686
Simulated,1500,9,PoissonGBM,all,CRPS,0.5180996805555556
Simulated,1500,9,PoissonGBM,all,pit_ks,0.06134088674572724
Simulated,1500,9,PoissonGBM,all,cov95,0.9266666666666666
Simulated,1500,9,PoissonGBM,all,cov50,0.8533333333333334
Simulated,1500,9,PoissonGBM,all,nMAE,0.6784869976359339
Simulated,1500,9,PoissonGBM,x>0,CRPS,0.929588044605809
Simulated,1500,9,PoissonGBM,x>0,pit_ks,0.12980076217450587
Simulated,1500,9,PoissonGBM,x>0,cov95,0.8796680497925311
Simulated,1500,9,PoissonGBM,x>0,cov50,0.7427385892116183
Simulated,1500,9,PoissonGBM,x>0,nMAE,0.6698795180722891
Simulated,1500,9,HurdleGBM,all,CRPS,0.46469855555555556
Simulated,1500,9,HurdleGBM,all,pit_ks,0.06496024100728393
Simulated,1500,9,HurdleGBM,all,cov95,0.9466666666666667
Simulated,1500,9,HurdleGBM,all,cov50,0.86
Simulated,1500,9,HurdleGBM,all,nMAE,0.6737588652482269
Simulated,1500,9,HurdleGBM,x>0,CRPS,0.8320946317427386
Simulated,1500,9,HurdleGBM,x>0,pit_ks,0.12149390181220732
Simulated,1500,9,HurdleGBM,x>0,cov95,0.91701244813278
Simulated,1500,9,HurdleGBM,x>0,cov50,0.7551867219917012
Simulated,1500,9,HurdleGBM,x>0,nMAE,0.6674698795180722
Simulated,1500,9,QuantileGBM,all,CRPS,0.5095427916666666
Simulated,1500,9,QuantileGBM,all,pit_ks,0.10828626742809766
Simulated,1500,9,QuantileGBM,all,cov95,0.96
