dataset,seed,method,metric,value
Ta-Feng,4,BTYD,brier,0.20967394702083947
Ta-Feng,4,BTYD,ece,0.0837078074552392
Ta-Feng,4,ML,brier,0.19714513957309368
Ta-Feng,4,ML,ece,0.014475554970784447
Ta-Feng,5,BTYD,brier,0.21188357425887877
Ta-Feng,5,BTYD,ece,0.08918623422365718
Ta-Feng,5,ML,brier,0.19772230913674574
Ta-Feng,5,ML,ece,0.008499792985010256
Ta-Feng,6,BTYD,brier,0.21479288597006166
Ta-Feng,6,BTYD,ece,0.0906449955972997
Ta-Feng,6,ML,brier,0.1997430742452133
Ta-Feng,6,ML,ece,0.016427524747463014
Ta-Feng,7,BTYD,brier,0.21407090181978278
Ta-Feng,7,BTYD,ece,0.09538963897857351
Ta-Feng,7,ML,brier,0.1997983819269682
Ta-Feng,7,ML,ece,0.014686170324864441
Ta-Feng,8,BTYD,brier,0.21167809656589376
Ta-Feng,8,BTYD,ece,0.08003815673613145
Ta-Feng,8,ML,brier,0.19845990737962105
Ta-Feng,8,ML,ece,0.009852695778121343
Ta-Feng,9,BTYD,brier,0.2136389308776049
Ta-Feng,9,BTYD,ece,0.08632447901379514
Ta-Feng,9,ML,brier,0.19987399039651324
Ta-Feng,9,ML,ece,0.00775916159201921
Ta-Feng,10,BTYD,brier,0.21067116231288524
Ta-Feng,10,BTYD,ece,0.0851379512767831
Ta-Feng,10,ML,brier,0.19744282331019503
Ta-Feng,10,ML,ece,0.016549832164395303
Ta-Feng,11,BTYD,brier,0.20962381493982976
Ta-Feng,11,BTYD,ece,0.08896022894041677
Ta-Feng,11,ML,brier,0.19636583319045134
Ta-Feng,11,ML,ece,0.011398549637909365
Ta-Feng,12,BTYD,brier,0.21200662606398593
Ta-Feng,12,BTYD,ece,0.08245523921338418
Ta-Feng,12,ML,brier,0.19950376972536468
Ta-Feng,12,ML,ece,0.016148214526639098
Ta-Feng,13,BTYD,brier,0.21146327781039037
Ta-Feng,13,BTYD,ece,0.08455312591722922
Ta-Feng,13,ML,brier,0.19882549618970402
Ta-Feng,13,ML,ece,0.003536313332044681
Ta-Feng,14,BTYD,brier,0.21282167596125623
Ta-Feng,14,BTYD,ece,0.0914484884062225
Ta-Feng,14,ML,brier,0.19785539920587852
Ta-Feng,14,ML,ece,0.02535343498880053
