dataset,seed,method,cond,metric,value
OnlineRetailII,13,BTYD+GG,all,nMAE,0.8248437669013755
OnlineRetailII,13,BTYD+GG,x>0,CRPS,537.5770617832032
OnlineRetailII,13,BTYD+GG,x>0,pit_ks,0.21874848116646417
OnlineRetailII,13,BTYD+GG,x>0,cov95,0.9647630619684082
OnlineRetailII,13,BTYD+GG,x>0,nMAE,0.7707549091990511
OnlineRetailII,13,ZILN,all,CRPS,374.0798184689274
OnlineRetailII,13,ZILN,all,pit_ks,0.03593750000000001
OnlineRetailII,13,ZILN,all,cov95,0.9625
OnlineRetailII,13,ZILN,all,nMAE,0.7365386509817011
OnlineRetailII,13,ZILN,x>0,CRPS,520.3586833126974
OnlineRetailII,13,ZILN,x>0,pit_ks,0.045133657351154266
OnlineRetailII,13,ZILN,x>0,cov95,0.959902794653706
OnlineRetailII,13,ZILN,x>0,nMAE,0.7176488199853774
OnlineRetailII,14,BTYD+GG,all,CRPS,422.60086827162866
OnlineRetailII,14,BTYD+GG,all,pit_ks,0.20390624999999996
OnlineRetailII,14,BTYD+GG,all,cov95,0.97890625
OnlineRetailII,14,BTYD+GG,all,nMAE,0.6592813450762065
OnlineRetailII,14,BTYD+GG,x>0,CRPS,567.8790026523671
OnlineRetailII,14,BTYD+GG,x>0,pit_ks,0.19637742253357693
OnlineRetailII,14,BTYD+GG,x>0,cov95,0.9707317073170731
OnlineRetailII,14,BTYD+GG,x>0,nMAE,0.6120649030512001
OnlineRetailII,14,ZILN,all,CRPS,493.8282521125508
OnlineRetailII,14,ZILN,all,pit_ks,0.03557757251278465
OnlineRetailII,14,ZILN,all,cov95,0.96796875
OnlineRetailII,14,ZILN,all,nMAE,0.7556109870999659
OnlineRetailII,14,ZILN,x>0,CRPS,704.3241235521745
OnlineRetailII,14,ZILN,x>0,pit_ks,0.04432926829268291
OnlineRetailII,14,ZILN,x>0,cov95,0.9682926829268292
OnlineRetailII,14,ZILN,x>0,nMAE,0.7412780201350787
Ta-Feng,0,BTYD+GG,all,CRPS,59320.460508025004
Ta-Feng,0,BTYD+GG,all,pit_ks,0.08316554153213973
Ta-Feng,0,BTYD+GG,all,cov95,0.9424713824479014
Ta-Feng,0,BTYD+GG,all,nMAE,1.066657989739123
Ta-Feng,0,BTYD+GG,x>0,CRPS,115834.11574866166
Ta-Feng,0,BTYD+GG,x>0,pit_ks,0.08752689735388197
Ta-Feng,0,BTYD+GG,x>0,cov95,0.932247746437918
Ta-Feng,0,BTYD+GG,x>0,nMAE,1.0677900026524103
Ta-Feng,0,ZILN,all,CRPS,59130.372179567676
Ta-Feng,0,ZILN,all,pit_ks,0.025043293219841556
