k,rep,cond,n,pit_ks,CRPS,cov50,cov95,mean_true,mean_pred
3.0,9,xcal_pos,359,0.04121601525794438,0.31355395303795264,0.9387186629526463,0.9972144846796658,0.8133704735376045,0.6364902506963789
3.0,10,all,800,0.05007458256483144,0.12098046875,0.96125,0.99625,0.22125,0.165625
3.0,10,xcal_pos,301,0.0887022291197872,0.2848871599875415,0.9235880398671097,1.0,0.5514950166112956,0.44019933554817275
3.0,11,all,800,0.032312265248155225,0.5824702026367188,0.8775,0.9975,2.0775,1.979375
3.0,11,xcal_pos,449,0.059246360934268494,1.0074737480860245,0.8106904231625836,0.9977728285077951,3.670378619153675,3.5267260579064588
3.0,12,all,800,0.05736775248660719,0.41873885498046876,0.85875,0.99625,0.96875,0.724375
3.0,12,xcal_pos,457,0.05789823273016825,0.6749769214989059,0.8052516411378556,0.9978118161925602,1.636761487964989,1.2680525164113785
3.0,13,all,800,0.03906144096150779,0.1478076171875,0.93125,0.9825,0.32,0.173125
3.0,13,xcal_pos,233,0.07606878508172449,0.4271255532457081,0.8369098712446352,0.9957081545064378,1.0171673819742488,0.5944206008583691
3.0,14,all,800,0.07624880814569657,0.5919234619140624,0.87625,0.9925,2.07625,1.815625
3.0,14,xcal_pos,558,0.09173593722593038,0.8239610285058242,0.8405017921146953,0.9910394265232975,2.953405017921147,2.6030465949820787
4.0,0,all,800,0.04545824765943063,0.4037036376953125,0.91125,0.99125,1.4525,1.403125
4.0,0,xcal_pos,316,0.10257233973448876,0.9485602811016614,0.8449367088607594,0.9968354430379747,3.6012658227848102,3.5522151898734178
4.0,1,all,800,0.02553476644710273,0.13611116943359375,0.9475,0.9975,0.25375,0.166875
4.0,1,xcal_pos,241,0.05135743079742727,0.4215210872665975,0.8547717842323651,1.0,0.8132780082987552,0.553941908713693
4.0,2,all,800,0.038007161778899345,0.41112200927734377,0.90875,0.99375,1.19625,1.211875
4.0,2,xcal_pos,371,0.04666268453284339,0.8466748968160376,0.8355795148247979,0.9919137466307277,2.5390835579514826,2.6132075471698113
4.0,3,all,800,0.06873897529819961,0.3077303466796875,0.89125,0.9975,0.7225,0.50875
